"PolicyName","Type","PolicyAction","ApplicationName","ApplicationType","TotalWeight"
,,,,,
"RUN_APP_ ShopfloorMachines_ Bat Files","Advanced Windows","Elevate","104344_ip.bat","Script","20"
"RAS_APP_InsightExplorer_C","Advanced Windows","Elevate if necessary","in-sight explorer.exe","EXE","62,5"
"RUN_APP_MySQLWorkbench_N","Advanced Windows","Elevate","MySQLWorkbench.exe","EXE","45"
"RUN_APP_UniClient_C","Advanced Windows","Elevate","uniclient.exe","EXE","15"
"RUN_APP_UniClient_C","Advanced Windows","Elevate","协卡助手","EXE","65"
"RUN_APP_LTVerUp_N","Advanced Windows","Elevate","LTVerUp.exe","EXE","45"
"RUN_APP_LTVerUp_N","Advanced Windows","Elevate","LTVerUp.bat","Script","45"
"RUN_APP_Cimatron_E_C","Advanced Windows","Elevate","CimatronE_Launcher.exe","EXE","22,5"
"RUN_APP_Cimatron_E_C","Advanced Windows","Elevate","External.exe","EXE","22,5"
"RUN_APP_vLoggerSuite_C","Advanced Windows","Elevate","vloggersuite.exe","EXE","52,5"
"RUN_APP_TechPRO_N (For M0143342)","Advanced Windows","Elevate","commonmain.exe","EXE","30"
"RUN_INS_\\itc.global.mahle\group\crp\software\software tools\_N","Advanced Windows","Elevate if necessary","4af91d26-a475-455c-b050-926da7561bb7","EXE","15"
"RUN_INS_\\itc.global.mahle\group\crp\software\software tools\_N","Advanced Windows","Elevate if necessary","55388ed7-fa59-4a2a-b14b-82a97ba2c55f","MSI","30"
"RUN_APP_TeamCenter_Patch_Update","Advanced Windows","Elevate","windows.storage.dll","COM","85"
"RAS_APP_KUKArecovery_N","Advanced Windows","Elevate if necessary","Recovery.exe","EXE","80"
"RUN_APP_LtnMain_N","Advanced Windows","Elevate","LtnMain.exe","EXE","45"
"RUN_OS_AddRemPrint","Advanced Windows","Elevate",,"WinAdminTask","0"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","sc_setup.exe","EXE","125"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","sc_corr_table.exe","EXE","45"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","cbusetup.exe","EXE","125"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","sc_font_convert.exe","EXE","45"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","CbSetup.exe","EXE","45"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","sc_usc_server.exe","EXE","45"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","sam_light.exe","EXE","45"
"RAS_APPS_BehrScan_N","Advanced Windows","Elevate if necessary","Behr_SCAN.exe","EXE","45"
"RAS_APP_TaskManager_N","Advanced Windows","Elevate if necessary","taskmgr.exe","EXE","135"
"RUN_APP_KstaApp_N","Advanced Windows","Elevate","KstaApp.exe","EXE","45"
"RUN_INS_G:\TestLabDrive\MADONNA_Francesco","Advanced Windows","Elevate","e52415cf-f227-4e9e-822e-b2788bf06aba","EXE","7,5"
